key,message,comment,context
Permissions (fields),Permissões (campos),,
Permissions...,Permissões…,,
Phonebook.contactPhonebook,Contato Lista telefônica,,
PickingStockMove.manual,Manual,,
Planned Inventories,Inventários Planejados,,
Please configure the sale order invoicing product,"Por favor, configure o produto de faturamento da ordem de venda",,
Please confirm the sale order before invoicing.,"Por favor, confirme o pedido de venda antes do faturamento.",,
Please fill printing settings on invoice %s.,"Por favor, preencha as definições de impressão nas %s de faturamento.",,
Please fill the first period end date and the invoice frequency.,"Por favor, preencha a data final do primeiro período e a frequência de faturamento.",,
Please select key fields to check duplicate,"Por favor, selecione os campos-chave para verificar a duplicidade",,
Postal addresses,Endereços,,
Product accounting families,Famílias contábeis de produtos,,
Product Accounting Family,Família contábil do produto,,
Product Accounting Family Sales Turnover this year vs last year,Volume de negócios da família contábil de produtos este ano vs ano passado,,
Product typology,Definições do produto,,
ProductType.product,Produto,,
Prospects by Industry Sector,Perspectivas por Setor de Atividade,,
Purchase order,Ordem de compra,,
Purchase order without incoming stock move,Ordem de compra sem movimentação de estoque,,
Purchase Request Lines,Linhas do pedido de compra,,
PurchaseInvoicesDetails.title,Detalhes das faturas de compra,,
PurchaseOrder.invoicingAddress,Endereço de faturamento,,
Question,Questão,,
Real Margin (Invoicing),Margem Real (Faturamento),,
Recently created contacts,Contatos recentemente criados,,
Record created,Registro criado,,
Record updated,Registro alterado,,
Record was updated or deleted by another transaction,O registro foi alterado ou excluído por outra transação,,
Referential,Definições,,
Refresh,Atualizar,,
Remember me,Lembrar de mim,,
Remove duplicates,Remover duplicados,,
Retrieve invoices from factorized customers,Recuperar faturas de clientes factorizados,,
Run,Executar,,
Sale order without outgoing stock move,Ordem de venda sem movimentação de estoque,,
SaleInvoicesDetails.title,Detalhes das faturas de venda,,
SaleOrder.invoicingAddrs,Endereço de faturamento,,
SalesMan,Vendedor,,
Salesperson,Vendedor,,
Search Call,Pesquisar chamadas,,
Search fields,Pesquisar campos,,
Search more...,Pesquisar mais,,
Search Objects,Pesquisar Objetos,,
Search...,Pesquisar…,,
Select,Selecionar,,
Send email on invoice validate,Enviar e-mail na validação da fatura,,
Send email on invoice ventilation,Enviar e-mail sobre a escrituração de faturas,,
Show all stock moves,Mostrar todo o movimento de estoque,,
Skip ventilation,Pular escrituração,,
Stock rule,Regra de estoque,,
StockMove.mass,Peso,,
Suppl. Invoices,Fornecimento. Faturas,,
Suppliers payment delay (Average in days),Prazo pagamento fornecedores (Médias de dias),,
The account of a product could not be determined or is not filled. Please fill the missing account on invoice line %s,A conta de um produto não pode ser determinada ou não é preenchida. Por favor preencha a conta em falta na linha de faturamento %s,,
The company is required and must be the same for all invoices,A empresa é obrigatória e deve ser a mesma para todas as faturas,,
The following fields are invalid:,Os campos a seguir são inválidos:,,
The project must be the same for all invoices,O projeto deve ser o mesmo para todas as facturas,,
The project must be the same for all invoices,O projeto deve ser o mesmo para todas as faturas,,
Total net mass,Peso liquido total,,
Turnover per customer sector,Volume de negócios por setor de actividade,,
Unarchive,Desarquivar,,
Unit of mass,Unidade de peso,,
Updated by,Atualizado por,,
Updated By:,Atualizado por:,,
Updated copy,Cópia atualizada,,
updated document,Documento atualizado,,
Updated on,Atualizado em,,
Updated On:,Atualizado em:,,
Updated tasks,Tarefas atualizadas,,
Updated timesheet lines,Linhas do ponto atualizadas,,
Username,Usuário,,
value:Accounting,Contabilidade,,
value:Appraisal,Avaliação,,
value:Base,Base,,
value:BPM,BPM,,
value:Budget,Orçamento,,
value:Cash management,Administração de caixa,,
value:Contract,Contrato,,
value:CRM,CRM,,
value:Employees Managment,Gestão de Empregados,,
value:Expense Management,Gestão de Despesas,,
value:Extra hours,Horas extras,,
value:Fleet,Frota,,
value:Helpdesk,Helpdesk,,
value:Invoicing,Faturamento,,
value:Job costing,Cálculo de custos de serviço,,
value:Leave Management,Gestão de férias,,
value:Manufacturing,Manufatura,,
value:Marketing Management,Gestão de Marketing,,
value:Portal,Portal,,
value:Product App,Produto App,,
value:Purchase,Compra,,
value:Purchase Request,Pedido de Compra,,
value:Quality,Qualidade,,
value:Recruitment,Recrutamento,,
value:Sale,Venda,,
value:Stock,Estoque,,
value:Supplychain,Rede de fornecimento,,
value:Timesheet Management,Gestão de Ponto,,
value:Training,Treinamento,,
Ventilate,Escriturar,,
Ventilate selected invoices,Escriturar faturas marcadas,,
Ventilated,Escriturado,,
Ventilated by,Escriturado por,,
Ventilated Date,Data Escriturada,,
warning,Aviso,,
Warning,Aviso,,
Website,Site,,
Work mobile phone,Celular comercial,,
Write your comment here,Escreva seu comentário aqui,,
